,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
0,BRK-B,Berkshire Hathaway Inc.,345.45,-0.89,-0.26%,2.754M,3.074M,753.385B,8.68,
1,BRK-A,Berkshire Hathaway Inc.,523690.12,-1734.88,-0.33%,9421,7779,752.831B,8.77,
2,V,Visa Inc.,234.44,-0.6,-0.26%,5.372M,5.229M,487.588B,29.79,
3,JPM,JPMorgan Chase & Co.,144.77,-0.33,-0.23%,6.943M,9.104M,420.715B,9.31,
4,MA,Mastercard Incorporated,394.74,-3.23,-0.81%,2.474M,2.291M,371.929B,37.0,
5,JPM-PC,JPMorgan Chase & Co.,24.39,0.12,+0.49%,104687,127451,319.943B,1.81,
6,JPM-PD,JPMorgan Chase & Co.,23.34,0.17,+0.73%,82657,101329,310.086B,1.73,
7,BML-PG,Bank of America Corporation,20.78,0.06,+0.29%,9061,5659,280.599B,5.91,
8,BML-PH,Bank of America Corporation,20.31,-0.19,-0.93%,38393,33153,275.371B,5.78,
9,BAC-PK,Bank of America Corporation,22.53,0.21,+0.94%,79619,54758,226.037B,6.41,
10,BML-PL,Bank of America Corporation,20.62,0.01,+0.05%,8408,17995,254.069B,5.87,
11,BAC-PL,Bank of America Corporation,1070.95,16.67,+1.58%,11580,7734,0,304.77,
12,BAC,Bank of America Corporation,26.31,0.24,+0.92%,39.282M,41.812M,209.069B,7.56,
13,BAC-PE,Bank of America Corporation,20.11,0.05,+0.25%,13965,16402,238.865B,5.72,
14,BML-PJ,Bank of America Corporation,20.83,0.03,+0.14%,23373,12551,240.893B,5.93,
15,BAC-PB,Bank of America Corporation,23.51,0.25,+1.07%,60965,89608,234.986B,6.69,
16,IDCBY,Industrial and Commercial Bank of China Limited,9.4,0.05,+0.53%,65882,201365,216.97B,3.46,
17,WFC-PR,Wells Fargo & Company,25.11,0.0,0.00%,40138,92915,185.088B,5.2,
18,WFC-PY,Wells Fargo & Company,21.84,0.19,+0.88%,36653,57849,178.331B,4.52,
19,ACGBY,Agricultural Bank of China Limited,9.27,0.05,+0.54%,18419,30893,171.856B,3.77,
20,WFC-PL,Wells Fargo & Company,1071.01,4.01,+0.38%,9956,10678,167.389B,221.65,
21,C-PJ,Citigroup Inc.,25.49,-0.04,-0.16%,81256,112235,144.69B,3.0,
22,HSBC,HSBC Holdings plc,39.76,-0.72,-1.78%,1.685M,1.741M,155.243B,6.63,
23,HBCYF,HSBC Holdings plc,7.75,-0.14,-1.73%,1294,30098,151.26B,6.46,
24,HDB,HDFC Bank Limited,58.87,-0.42,-0.71%,1.11M,2.054M,148.78B,18.45,
25,WFC,Wells Fargo & Company,39.7,0.01,+0.03%,11.893M,15.304M,145.254B,10.03,
26,CICHY,China Construction Bank Corporation,11.15,-0.01,-0.09%,36984,152829,142.121B,3.09,
27,MS,Morgan Stanley,79.91,-0.42,-0.52%,5.02M,6.909M,132.408B,14.04,
28,BACHY,Bank of China Limited,8.69,-0.03,-0.34%,78312,96010,139.032B,3.43,
29,BX,Blackstone Inc.,104.81,-0.32,-0.30%,2.181M,6.423M,127.523B,63.14,
