,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
0,INTC,Intel Corporation,36.34,-1.65,-4.34%,53.18M,38.242M,152.192B,,
1,AAPL,Apple Inc.,179.07,1.1,+0.62%,50.448M,57.543M,2.8T,30.05,
2,AMD,"Advanced Micro Devices, Inc.",101.61,-0.76,-0.74%,41.536M,61.521M,164.168B,,
3,NVDA,NVIDIA Corporation,435.2,-4.46,-1.01%,37.136M,49.922M,1.075T,105.38,
4,PLTR,Palantir Technologies Inc.,15.15,-0.31,-2.01%,37.498M,63.544M,32.6B,,
5,GRAB,Grab Holdings Limited,3.49,-0.04,-1.13%,21.913M,18.195M,13.625B,,
6,UBER,"Uber Technologies, Inc.",47.59,1.08,+2.32%,19.167M,20.592M,97.251B,,
7,ARM,Arm Holdings plc,55.17,-2.83,-4.88%,18.243M,79.856M,56.609B,145.18,
8,SQ,"Block, Inc.",49.8,-1.45,-2.83%,17.774M,9.412M,30.382B,,
9,NOK,Nokia Oyj,4.0,0.05,+1.27%,15.583M,16.479M,22.184B,5.13,
10,MSFT,Microsoft Corporation,328.65,-0.41,-0.12%,16.498M,24.9M,2.442T,33.99,
11,SHOP,Shopify Inc.,58.33,-1.17,-1.97%,13.368M,11.147M,74.824B,,
12,U,Unity Software Inc.,33.96,0.51,+1.52%,11.185M,11.692M,13.022B,,
13,MU,"Micron Technology, Inc.",70.71,0.21,+0.30%,10.396M,13.936M,77.449B,,
14,ORCL,Oracle Corporation,112.77,0.56,+0.50%,9.454M,10.493M,308.97B,33.46,
15,FIS,"Fidelity National Information Services, Inc.",58.23,0.97,+1.69%,9.16M,4.413M,34.499B,,
16,HPQ,HP Inc.,27.57,0.25,+0.92%,8.445M,6.869M,27.247B,11.83,
17,CSCO,"Cisco Systems, Inc.",55.84,-0.27,-0.48%,10.71M,17.979M,226.423B,18.19,
18,HPE,Hewlett Packard Enterprise Company,17.07,0.07,+0.41%,7.622M,11.185M,21.898B,20.57,
19,ZI,ZoomInfo Technologies Inc.,16.53,-0.5,-2.94%,7.495M,6.509M,10.879B,53.32,
20,MRVL,"Marvell Technology, Inc.",54.09,-0.69,-1.26%,6.517M,10.878M,46.669B,,
21,TSM,Taiwan Semiconductor Manufacturing Company Limited,88.17,-0.66,-0.74%,7.009M,8.921M,457.286B,15.5,
22,AMAT,"Applied Materials, Inc.",137.71,-2.56,-1.83%,6.365M,5.663M,115.199B,18.19,
23,TOST,"Toast, Inc.",20.33,-0.06,-0.29%,6.198M,7.309M,10.889B,,
24,APP,AppLovin Corporation,39.73,-4.28,-9.73%,5.801M,2.631M,13.818B,794.6,
25,UMC,United Microelectronics Corporation,7.11,-0.11,-1.52%,5.718M,5.794M,17.943B,7.04,
