,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
0,PCG,PG&E Corporation,17.41,0.11,+0.64%,14.817M,17.942M,43.547B,18.92,
1,NEE,"NextEra Energy, Inc.",67.59,-0.65,-0.95%,7.854M,8.109M,136.783B,16.69,
2,AES,The AES Corporation,16.76,-0.32,-1.87%,6.051M,5.569M,11.223B,,
3,XEL,Xcel Energy Inc.,58.52,0.53,+0.91%,7.502M,4.008M,32.276B,18.58,
4,VST,Vistra Corp.,33.15,-0.13,-0.40%,4.38M,4.637M,12.185B,9.36,
5,NI,NiSource Inc.,27.55,0.0,0.00%,4.304M,3.691M,11.385B,19.13,
6,SO,The Southern Company,70.91,-0.04,-0.06%,3.824M,3.695M,77.331B,25.23,
7,CNP,"CenterPoint Energy, Inc.",28.98,-0.17,-0.58%,4.722M,3.888M,18.292B,25.2,
8,DUK,Duke Energy Corporation,93.84,-1.12,-1.18%,3.224M,2.947M,72.323B,20.09,
9,CMS,CMS Energy Corporation,56.81,-0.2,-0.35%,3.033M,1.704M,16.573B,22.72,
10,FE,FirstEnergy Corp.,36.8,0.03,+0.08%,4.171M,3.011M,21.1B,46.0,
11,PEG,Public Service Enterprise Group Incorporated,60.62,-0.71,-1.16%,2.978M,2.351M,30.256B,10.9,
12,D,"Dominion Energy, Inc.",47.85,-0.78,-1.60%,4.02M,4.15M,40.04B,17.72,
13,EXC,Exelon Corporation,41.07,-0.42,-1.01%,4.062M,5.123M,40.874B,19.19,
14,PPL,PPL Corporation,25.51,-0.16,-0.62%,3.169M,4.732M,18.803B,26.3,
15,CEG,Constellation Energy Corporation,110.54,-0.2,-0.18%,1.792M,1.783M,35.549B,46.64,
16,ES,Eversource Energy,63.79,-0.5,-0.78%,1.702M,2.075M,22.268B,18.93,
17,SRE,Sempra,73.52,0.01,+0.01%,2.543M,2.159M,46.267B,18.61,
18,EIX,Edison International,70.19,-1.03,-1.45%,1.723M,1.398M,26.903B,28.3,
19,AEP,"American Electric Power Company, Inc.",80.06,-0.17,-0.21%,2.22M,3.155M,41.245B,20.85,
